INTRPRETE;CàDIGO;TÖTULO;INÖCIO DA LETRA
Luxúria ;07985;LAMA;Não não dê mais tantas voltas não
M People;19584;MOVING ON UP;You've done me wrong your time is up
M. Creusa, Toquinho E V. De Moraes;06020;MINHA NAMORADA;Meu poeta eu hoje estou contente...
M.Cecilia e Rodolfo-Exaltasamba;01699;O TROCO;Todo o tanto que você chorar pra mim
Maciel Melo, Xangai e Nana;15350;RAINHA;És rainha na vida de um moleque
Macy Gray;04917;I TRY;Games, changes and fears...
Madonna;04830;LIKE A PRAYER;Life is a mystery…
Madonna;09005;AMERICAN PIE;A long long time ago I can still remem
Madonna;04893;FROZEN;You only see...
Madonna;04902;HOLIDAY;Holiday celebrate holiday celebrate...
Madonna;04963;SECRET;Things haven't been the same...
Madonna;04884;DON'T TELL ME;Don't tell me to stop...
Madonna;04972;TAKE A BOW;Take a bow, the night is over...
Madonna;19802;DEEPER AND DEEPER;Deeper and deeper and deeper and deeper
Madonna;19817;DRESS YOU UP;You've got style that's what all the girls
Madonna;02556;ONE MORE CHANCE;I turned around too late to see the fal
Madonna;02584;BORDERLINE;Something in the way you love me won't let
Madonna;19004;GIRL GONE WILD;It's so hypnotic The way he pulls on me
Madonna;19023;TURN UP THE RADIO;When the world starts to get you down
Madonna;19048;CELEBRATION;I think you wanna come over 
Madonna;19053;GIVE IT 2 ME;What are you waiting for nobody's gonna
Madonna;19062;MILES AWAY;I just woke up from a fuzzy dream
Madonna;19091;CHERISH;Cherish... So tired of broken hearts
Madonna;19103;HOLLYWOOD;Everybody comes to hollywood
Madonna;19104;HUNG UP;Time goes by so slowly
Madonna;19135;MUSIC;Hey Mr. DJ put a record on I wanna dance
Madonna;19150;VOGUE;Strike a pose...Vogue...Look around 
Madonna;19343;LIVING FOR LOVE;First you love me and I let you in
Madonna;19359;YOU'LL SEE;You think that I can't live without your love
Madonna;19387;LA ISLA BONITA;Last night I dreamt of San Pedro
Madonna;19613;EXPRESS YOURSELF;Come on girls do you believe in love
Madonna;19626;RAIN;Rain feel it on my finger tips
Madonna;19642;BAD GIRL;Something's missing and I don't know why
Madonna;19716;THE POWER OF GOOD-BYE;Your heart is not open so I must go
Madonna;19466;LIVE TO TELL;I have a tale to tell
Madonna;04696;CRAZY FOR YOU;Swaying on as the music starts...
Madonna;04754;PHYSICAL;I’m sayin’ all the things that I know...
Madonna;04738;MATERIAL GIRL;Some boys kiss me some boys hug me...
Madonna;04535;LIKE A VIRGIN;I made it through the wilderness
Madonna - Justin Timberlake - Timbaland;19535;4 MINUTES;Come on boy I've been waiting for somebody
Madonna ;09244;BEAUTIFUL STRANGER ;Haven't we met 
Madonna ;09271;SORRY ;Je suis desolé lo siento 
Madrigal;01285;CABOCLA;Quando a luz do sol invade o céu
Mafalda Minnozzi;07009;COME LE ROSE;Son tornate a fiorire le rose
Magazine;06987;TIC TIC NERVOSO;Estou preso no trânsito com pouca…
Magazine;06983;SOU BOY;Acordo sete horas tomo um ônibus…
Maggie Macneal;19679;WHEN YOU'RE GONE;I never had another lover
Magic!;19230;RUDE;Saturday morning jumped out of bed
Maiara e Maraisa;16047;MEDO BOBO;Iê iê iê... Ah esse tom de voz eu reconheço
Maiara e Maraísa;15966;10%;Tô escorada na mesa 
Maiara e Maraísa;16167;MEXIDINHO;Cheguei na ponta dos pés
Maiara e Maraísa;16200;VOCÊ FAZ FALTA AQUI;Você você faz falta falta aqui aqui aqui
Maiara e Maraísa;16236;SORTE QUE CÊ BEIJA BEM;Eu jurei não bater na sua porta
Maiara e Maraísa;16266;DOIS IDIOTAS;Foi mal eu devia ter dito da primeira vez
Maiara e Maraísa;16364;NO DIA DO SEU CASAMENTO;Iê ê ê iê... Passei a noite em claro
Maiara e Maraísa - Cristiano Araújo;16076;SE OLHA NO ESPELHO;Ela não sabe se produzir
Maíra Charken;09404;BONDE DO FUNK AXÉ;Pegou um pegou geral no bonde do funk
Malcolm Roberts;02529;LOVE IS ALL;Yesterday I knew the games to play
Malta;15656;DIZ PRA MIM;Você está na sombra do olhar pensei em te
Malta;15737;MEMÓRIAS (COME WAKE ME UP);Hoje eu vejo que não consigo entender
Malta;15922;DONA DA VOZ;Dona da voz que me conduz
Malta;16063;INDISPENSÁVEL PARA MIM (MIENTES);Você chegou na minha vida pra ensinar-me
Mamas and Papas;02564;DANCING IN THE STREET;Callin' out around the world
Mamas and Papas;04505;CALIFORNIA DREAMIN;All the leaves are brown and the sky
Mamas and Papas (The);19330;DREAM A LITTLE DREAM OF ME;Stars shining bright above you
Mamonas Assassinas;03243;SABÃO CRÁ CRÁ;Sabão crá crá
Mamonas Assassinas;03123;LÁ VEM O ALEMÃO;Só de pensar que nós dois éramos dois
Mamonas Assassinas;03289;VIRA - VIRA;Fui convidado pra uma tal suruba
Mamonas Assassinas;03304;BOIS DON'T CRY;Ser corno ou não ser eis a minha indagação
Mamonas Assassinas;03047;CHOPIS CENTIS;Eu dei um beijo nela
Mamonas Assassinas;01896;MUNDO ANIMAL;Comer tatu é bom
Mamonas Assassinas;01939;SÁBADO DE SOL;Sábado de sol aluguei um caminhão
Mamonas Assassinas;02784;CABEÇA DE BAGRE II;Loucura insensatez estado 
Mamonas Assassinas;02807;JUMENTO CELESTINO;Tava ruim lá na Bahia profissão de
Mamonas Assassinas;02820;UMA ARLINDA MULHER;Te encontrei toda remelenta
Mamonas Assassinas;02821;1406;Eu queria um apartamento no Guarujá
Mamonas Assassinas;03210;PELADOS EM SANTOS;Mina seus cabelos é da hora
Mamonas Assassinas;03238;ROBOCOP GAY;Um tanto quanto másculo
Maneva;16104;O DESTINO NÃO QUIS;O destino não quis a gente junto pra sempre
Maneva;16233;SAUDADES DO TEMPO;Saudades do tempo dos velhos momentos
Maneva;16430;TÔ DE PÉ;Loucos são aqueles que se dizem tão no
Mangueira;15285;ATRÁS DA VERDE E ROSA SÓ NÃO VAI QUEM JÁ MORREU;Me leva que eu vou sonho meu atrás da
Manhattans;02504;FOREVER BY YOUR SIDE;Friends
Manhattans;19490;KISS AND SAY GOODBYE;I had to meet you here today
Manitu;07607;FICO A TE ESPERAR;Bem que eu tentei te convencer
Manitu;07955;ESTÓRIA;São momentos assim
Manno Góes;01744;SIMPLES;Simples como gotas de chuva 
Mano A Mano;03340;PEDINDO AMOR;Mais uma noite não pude te esquecer
Mano Walter;16388;NÃO DEIXO NÃO;Ela me fez comprar um carro logo eu que
Manu Gavassi;01937;PLANOS IMPOSSÍVEIS;Uma semana sem te ver
Manu Gavassi;02688;GAROTO ERRADO;Alguém pode me explicar o que eu faço
Manu Gavassi;15047;CONTO DE FADAS;Já é tarde e eu aqui prolongando o fim
Manu Gavassi;15056;ODEIO;Eu odeio o seu sorriso e seu jeito de falar
Manu Gavassi;15217;CLICHÊ ADOLESCENTE;Me diz que eu sou linda para eu não acreditar de novo
Manu Gavassi;15501;QUATRO NOTAS;Cinco horas e eu com o coração na mão
Manu Gavassi;15505;SE EU TE ABRAÇO;Acordava sorrindo do seu lado você me
Manu Gavassi - Dulce Maria;15724;ANTES QUE VER EL SOL;Si te vas se me va a hacer mey tarde
Mara Maravilha;01509;NÃO FAZ MAL;Há quanto tempo eu não vejo tua cara
Mara Maravilha;15289;CURUMIM IÊ IÊ;Índia gosta barulho barulho barulho
Mara Maravilha;03709;JESUS CRISTO;Jesus Cristo, Jesus Cristo
MARA MARAVILHA;05635;REI DAVI;Agora eu vou contar pra vocês...
Mara Maravilha ;07763;DEUS DE MARAVILHAS;Não há Deus maior que o nosso Deus
Mara Maravilha e Ludmila Ferber;07888;VOU CONTINUAR;Eu tenho tido provas evidentes
Marcello Marcky;04224;ALMA METADE;Sei que um dia eu vou encontrar
Marcello Marcky;06185;NEBLINA;Ah ah ah… O dia foi perdendo a claridade…
Marcelo Augusto;15369;COMPLETAMENTE APAIXONADOS;Juntinhos apaixonados sem destino por
Marcelo Augusto - Patricia Marx;15771;FORMAS DE AMOR;Eu confesso meu amor que tenho a intenção
Marcelo D2;15141;LOADEANDO;O jogo começou aperta o start na vida você ganha cê perde
Marcelo D2;06747;QUAL É?;Ih eu tenho algo a dizer explicar pra....
Marcelo Jeneci;02673;FELICIDADE;Haverá um dia em que você
Marcelo Jeneci;15133;QUARTO DE DORMIR;Um dia desses você vai ficar lembrando de nós dois
Marcelo Jeneci;15148;PRA SONHAR;Quando te vi passar fiquei paralisado tremi até o chão
Marcelo Jeneci;15855;O MELHOR DA VIDA;O que vale nessa vida tem um pouco do seu
Márcia;01138;VENENO;Mas o que me faz chorar
Márcia;06570;EU E A BRISA;Ah... se a juventude que essa brisa…
Marcia Fellipe - Jerry Smith;16428;QUEM ME DERA;Não tô me reconhecendo
Márcia Ferreira;06605;CHORANDO SE FOI;Chorando se foi…
Márcia Freire;03547;VERMELHO;A cor do meu batuque tem o toque 
Márcio Greyck;07555;APARÊNCIAS;Quantos anos já vividos revividos
Márcio Greyck;01319;VOCÊ VEIO;Você veio pra mudar a minha história
Márcio Greyck;06383;O MAIS IMPORTANTE É O VERDADEIRO AMOR;Quanto sinto em dizer-te que me podes…
Marcos & Belutti;01536;PERDOA AMOR;De todas as loucuras que eu fiz na mi
Marcos & Belutti;01539;TENTAÇÃO CRUEL;Parei pra pensar
Marcos & Belutti;01743;SEM ME CONTROLAR;A carne é fraca não sou de lata 
Marcos e Bellutti;01347;TUDO NO OLHAR;Olhe nos meus olhos
Marcos e Bellutti;01807;DUPLA SOLIDÃO;Sozinho nesse quarto tentei refletir
Marcos e Bellutti;01970;BORA SE ACABAR;Tô precisando de alguém pra amar
Marcos e Bellutti;02793;DESCE DO SALTO;Iê ê ê iê ei... Desce do salto pra que eu possa
Marcos e Bellutti - Fernando e Sorocaba;15324;CALMA AÍ;Trident na boca perfume Two One Two
Marcos e Belutti;02697;NOVA NAMORADA;Não vou negar sofri demais quando você
Marcos e Belutti;02897;TÔ NO BUTECO;Quer saber onde estou to no buteco
Marcos e Belutti;15123;I LOVE YOU;U ô u... Você é formada sabe tudo e um pouco mais
Marcos e Belutti;15657;DOMINGO DE MANHÃ;Tá com voz de sono foi mal se te acordei
Marcos e Belutti;15690;ENTÃO FOGE;Ohh ohh... Pois é para de dar na trave com teu
Marcos e Belutti;15861;POEIRA DA LUA;Meus pés estavam pulando calçadas
Marcos e Belutti;15975;ROMÂNTICO ANÔNIMO;Lembra daquele garoto que sentou do seu
Marcos e Belutti;16221;EU ERA;Aí você escolhe a melhor roupa
Marcos e Belutti - Marciano;16311;ACEITO SUA DECISÃO;Tudo bem pode ir
Marcos e Belutti - Wesley Safadão;15842;AQUELE 1%;Eu abro a porta e puxo a cadeira do jantar
Marcos Roberto;06993;ÚLTIMA CARTA;Eu resolvi a lhe escrever…
Marcos Sabino;04051;RELUZ;Brilha no céu de novo uma estrela
Marcus Viana;06244;A MIRAGEM;Ah se pudéssemos contar as voltas…
Margareth Menezes;16027;DANDALUNDA;Bem pertinho da entrada do gueto
Margareth Menezes;16131;FARAÓ, DIVINDADE DO EGITO;Deuses divindade infinita do universo
Maria Alcina;16276;PRENDA O TADEU;Seu delegado prenda o Tadeu
Maria Bethania;15764;CAMISA LISTRADA;Vestiu uma camisa listrada e saiu por aí
Maria Bethânia;07349;ESSE CARA;Ah que esse cara tem me consumido
Maria Bethânia;07324;CORAÇÃO ATEU;O meu coração ateu quase acreditou
Maria Bethânia;07399;O LADO QUENTE DO SER;Eu gosto de ser mulher sonhar arder de
Maria Bethânia;07295;ALGUÉM ME AVISOU;Foram me chamar
Maria Bethânia;09335;SÁBADO EM COPACABANA;Depois de trabalhar toda a semana
Maria Bethânia;09407;CANTO DE OXUM;Ummm ummm ummm
Maria Bethânia;09416;CHEIRO DE AMOR;De repente fico rindo à toa
Maria Bethânia;09504;ONDE ESTARÁ O MEU AMOR;Como esta noite findará e o sol entã
Maria Bethânia;09397;ATIRASTE UMA PEDRA;Atiraste uma pedra
Maria Bethânia;09427;DA COR BRASILEIRA;De quem falo me acha direita
Maria Bethânia;09868;RECONVEXO;Eu sou a chuva que lança a areia do
Maria Bethânia;01155;UM JEITO ESTÚPIDO DE TE AMAR;Eu sei que eu tenho um jeito
Maria Bethânia;01697;O QUE EU NÃO CONHEÇO;O mais importante do bordado
Maria Bethânia;01747;SONHO IMPOSSÍVEL;Sonhar mais um sonho impossível 
Maria Bethânia;03111;GOSTOSO DEMAIS;Tô com saudade de tu meu desejo
Maria Bethânia;03241;RONDA;De noite eu rondo a cidade
Maria Bethânia;03171;NEGUE;Negue seu amor o seu carinho
Maria Bethânia;03096;EXPLODE CORAÇÃO;Chega de tentar dissimular e disfarçar
Maria Bethânia;01812;BALADA DE GISBERTA;Perdi-me do nome
Maria Bethânia;16097;IANSÃ;Senhora das nuvens de chumbo
Maria Bethânia;03780;VOLTA POR CIMA;Chorei, não procurei esconder
Maria Bethânia;03842;GRITO DE ALERTA;Primeiro você me azucrina
Maria Bethânia;04044;OLHA;Olha, você tem todas as coisas
Maria Bethânia;04057;TIGRESA;Uma tigresa de unhas negras
Maria Bethânia;04109;É O AMOR;Eu não vou negar que sou louco
Maria Bethânia;06629;OLHOS NOS OLHOS;Quando você me deixou meu bem…
Maria Bethânia;06862;MEL;Ó abelha rainha faz de mim
Maria Bethânia;03391;SONHO MEU;Sonho meu sonho meu
Maria Bethânia;03459;BRINCAR DE VIVER;Quem me chamou quem vai querer
Maria Bethânia e Omara Portuondo;02770;SÓ VENDO QUE BELEZA (MARAMBAIA);Eu tenho uma casinha lá na Marambaia
Maria Cecília e Rodolfo;01157;VOCÊ DE VOLTA;Tudo que eu quero é você de volta
Maria Cecília e Rodolfo;01366;QUEM AMA CUIDA;Não ligue se eu lhe perguntar
Maria Cecília e Rodolfo;01408;CEGO, SURDO E MUDO;Se eu pudesse te apagar do pensamento
Maria Cecília e Rodolfo;01755;TCHAU TCHAU;Eu percebi que mentia 
Maria Cecília e Rodolfo;15548;NUNCA MAIS ME DEIXE;Quero um beijo pra matar essa saudade
Maria Cecília e Rodolfo;15691;ESPALHE AMOR;Coloca o mundo no mudo escute o seu
Maria Cecília e Rodolfo;15814;DEIXA EU FAZER OUTRA VEZ;Deixa eu fazer outra vez te amar no chão da sala
Maria Cecília e Rodolfo ;01245;COISAS ESOTÉRICAS ;Coisas esotéricas me passam na cabeça
Maria Creusa;03198;ONDE ANDA VOCÊ;E por falar em saudade
Maria Creusa;04191;EU SEI QUE VOU TE AMAR;Eu sei que vou te amar
Maria Creusa;06524;APELO;Ah... meu amor não vás embora…
Maria Eugênia;01664;COMPANHEIRO;Vai amigo
Maria Gadú;01314;SHIMBALAIÊ;Shimbalaiê
Maria Gadú;01545;CEDO NÃO;A menina chegou me olhou bem assim
Maria Gadú;01557;LARANJA;Ô menina parece índia
Maria Gadú;01687;LINDA ROSA;Pior que o melhor de dois
Maria Gadú;01846;BELA FLOR;A flor que vem me lembrar
Maria Gadú;01962;A HISTÓRIA DE LILY BROWN;Como num romance
Maria Gadú;02701;ANJO DE GUARDA NOTURNO;Meu anjo de guarda noturno
Maria Gadú;02774;TUDO DIFERENTE;Todos caminhos trilham pra gente se
Maria Gadú;15032;DONA CILA;De todo o amor que eu tenho
Maria Gadú;15068;ESTRANHO NATURAL;Será que te conheço desde a infância
Maria Gadú;15087;JOÃO DE BARRO;O meu desafio é andar sozinho
Maria Gadú;15253;LINHA TÊNUE;Todo o lugar que chego você não fica
Maria Gadú;15911;OBLOCO;Quando eu lançar meu bloco o bloco dos sem medo
Maria Gadú;16162;ALTAR PARTICULAR;Meu bem que hoje me pede pra apagar
Maria Gadú - Ivan Lins;15746;QUEM ME DERA;Quem me dera te dar quem me bons ventos
Maria Gadú - Luiz Kiari;15713;QUANDO FUI CHUVA;Quando já não tinha espaço pequena fui
Maria Gadú e Caetano Veloso;01729;RAPTE-ME CAMALEOA;Rapte-me camaleoa 
Maria Rita;02695;NÃO VALE A PENA;Ficou difícil tudo aquilo nada disso sobrou
Maria Rita;02737;PRA MATAR MEU CORAÇÃO;Olha quem chegou pra matar meu coração
Maria Rita;02810;MUITO POUCO;Pronto agora que voltou tudo ao normal
Maria Rita;02855;NUM CORPO SÓ;Eu tentei mas não deu pra ficar
Maria Rita;15367;CASA DE NOCA;O couro comeu na casa de Noca nêgo
Maria Rita;15504;SAMBA MEU;O meu samba vai curar teu abandono o
Maria Rita;15652;CORAÇÃO A BATUCAR;Batuque o coração para me ver chegar
Maria Rita;15716;RUMO AO INFINITO;Tenho tanto pra falar não deixe que o mau tempo
Maria Rita;15849;MENININHA DO PORTÃO;Menininha sai do portão vem também brincar
Maria Rita;15967;CRIA;Crescendo foi ganhando espaço 
Maria Rita;16227;MARIA DO SOCORRO;Maria do Socorro suas pernas tornea
Maria Rita;16318;REZA;Pra dona do mar nos abençoar
Maria Rita;06641;A FESTA;Já falei tantas vezes do verde nos...
Maria Rita;06685;CARA VALENTE;Não ele não vai mais dobrar...
Maria Rita;06731;ENCONTROS E DESPEDIDAS;Mande notícias do mundo de lá...
Maria Rita;06857;LAVADEIRA DO RIO;A lavadeira do rio muito lençol pra
Maria Rita;06895;CAMINHO DAS ÁGUAS;Leva no teu bumbá me leva…
Maria Rita;06997;VEJA BEM MEU BEM;Veja bem meu bem sinto te informar…
Maria Rita;07094;CONTA OUTRA;Conta outra nessa eu não caio mais
Maria Rita;07231;RECADO;Com muito dinheiro e carro do ano
Maria Rita;07137;FELIZ;Vem pra misturar juízo e carnaval
Maria Rita ;09341;TÁ PERDOADO;Defumei o corredor perfumei o eleva
Mariah Carey;04916;I STILL BELIEVE;Na, na, yea-yeah...
Mariah Carey;04947;NEVER TOO FAR;You're with me 'til the bitter end...
Mariah Carey;19151;WE BELONG TOGETHER;Uhhh...yeah...I didn't mean it when I said
Mariah Carey;19301;O HOLY NIGHT;O holy night the stars are brightly shining
Mariah Carey;19481;ALWAYS BE MY BABY;Tchururu ohh... We were as one babe
Mariah Carey;19570;EMOTIONS;You've got me feeling emotions
Mariah Carey;19612;DREAMLOVER;Tchu tchuru tchu... I need a lover to give me
Mariah Carey;04558;WITHOUT YOU;No I can't forget this evening
Mariah Carey;04668;HERO;There's a hero
Mariah Carey;04740;MY ALL;I’m thinking of you...
Mariah Carey - Boyz II Men;19744;ONE SWEET DAY;Sorry
Mariah Carey e L. Vandross;04514;ENDLESS LOVE;My love, there's only you in my life
Mariah Carey e W. Houston;04803;WHEN YOU BELIEVE;Many nights I prayed...
Mariana Aydar;01402;A DEUSA DOS ORIXÁS;Yansã cadê Ogum foi pro mar
Mariana Valadão;02981;HOSANA;Eu vejo o Rei da glória vindo com o 
Mariana Valadão;02996;SE EU APENAS TE TOCAR;Se eu apenas Te tocar um milagre 
Mariane;03031;BERIMBOLANDO PÁ-DE-DE;Atirei o pau no gato mas não sei
Mariane Faithful;04659;THIS LITTLE BIRD;There's little bird that somebody
Marie Osmond;04600;PAPER ROSES;I realize the way your eyes deceived me
Mariene de Castro;15683;AMULETO DE SORTE;Quero te dar todo o amor da minha vida
Marília Barbosa;09300;O CIRCO;Vai vai vai começar a brincadeira
Marília Barbosa;09411;CASO VOCÊ CASE;Caso você case não escreva a nota
Marilia Medalha-Toquinho-Vinicius de Moraes;01955;TOMARA;Tomara que você volte depressa
Marilia Mendonça;16243;DE QUEM É A CULPA;Exagerado sim sou mais você que eu
Marília Mendonça;15971;INFIEL;Isso não é uma disputa
Marília Mendonça;16041;ALÔ PORTEIRO;Pegue suas coisas que estão aqui
Marília Mendonça;16056;COMO FAZ COM ELA;Vai se preparando que eu não vou ter paciência
Marília Mendonça;16112;SENTIMENTO LOUCO;Só queria mais um pouco desse sentimento louco
Marília Mendonça;16129;EU SEI DE COR;É já tá ficando chato né
Marília Mendonça;16136;MEU CUPIDO É GARI;O meu cupido é gari só me traz lixo
Marília Mendonça;16165;FOLGADO;Não venha não eu vivo do jeito que 
Marília Mendonça;16246;AMANTE NÃO TEM LAR;Só vim me desculpar eu não vou demorar
Marília Mendonça;16313;ENTRE QUATRO PAREDES;Sabe nosso problema é igualdade
Marília Mendonça;16375;AUSÊNCIA;Eiê iê êêê ôu... Sei bem o que te faz bem
Marília Mendonça;16404;ESTRANHO;Deixa eu perguntar uma coisa
Marília Mendonça - Bruno e Marrone;16333;TRANSPLANTE;Outra vez a sua boca fala e o coração
Marília Mendonça - Henrique e Juliano;16098;IMPASSE;Eu só queria entender seus pensamentos
Marillion;19539;BEAUTIFUL;Everybody knows we live in a world
Marillion;19441;KAYLEIGH;Do you remember chalk hearts melting
Marina;03282;UMA NOITE E MEIA;Vem chegando o verão um calor no
Marina;03108;FULLGÁS;Meu mundo você é quem faz
Marina;03008;AINDA É CEDO;Uma menina me ensinou
Marina;03177;NOSSO ESTRANHO AMOR;Não quero sugar todo o seu leite
Marina;03671;MESMO QUE SEJA EU;Sei que você fez os seus castelos
Marina;03752;EU TE AMO VOCÊ;Acho que não sei não, eu não queria
Marina;03841;GATA TODO DIA;Eu sou uma gata e não gosto de água fria
Marina;03221;PRA COMEÇAR;Pra começar quem vai colar
Marina;03301;À FRANCESA;Meu amor se você for embora
Marina;03470;EU NÃO SEI DANÇAR;Às vezes eu quero chorar
Marina Elali;07963;EU VOU SEGUIR;Eu sei que os sonhos são pra sempre
Marina Elali;09477;ME TIRA DO AR;Se você me quer
Marina Elali;09541;TALVEZ;Talvez eu só não pudesse ver
Marina Lima;07325;CORAÇÕES A MIL;Minhas ambições são dez
Marina Lima;01475;SUGAR;Quando a tarde cai eu penso em você
Marina Lima;01972;CHARME DO MUNDO;Eu tenho febre eu sei
Marina Lima;16232;PESSOA;Olhar você e não saber
Marina Lima;06465;NOTÍCIAS;Só você pode me incendiar…
Marina Lima;07000;VIRGEM;As coisas não precisam de você…
Marina Lima;06886;ACONTECIMENTOS;Eu espero acontecimentos…
Marina Lima;07271;VENENO;Veneno... não me beije
Marina Machado - Samuel Rosa;15696;GRILOS;Se você passar daquela porta você vai ver
Mario Panzeri e Psd Nisa;04541;NON HO L'ETA PER AMARTI;Non ho I'eta non ho I'eta
Mário Veloso;06393;TUDO POR VOCÊ;Por muitas vezes eu já tentei dizer…
Marisa Gata Mansa;01580;VIAGEM;Oh triteza me desculpe tô de malas pr
Marisa Monte;07303;ATÉ PARECE;Até parece que não lembra
Marisa Monte;07419;PRA SER SINCERO;Eu era tão feliz e não sabia amor
Marisa Monte;07404;PARA MAIS NINGUÉM;Entre nós deve haver sinceridade
Marisa Monte;07664;PARA VER AS MENINAS;Silêncio por favor
Marisa Monte;07681;PRECISO ME ENCONTRAR;Deixe-me ir preciso andar
Marisa Monte;07619;INFINITO PARTICULAR;Eis o melhor e o pior de mim
Marisa Monte;09500;O BONDE DO DOM;Novo dia
Marisa Monte;09847;NÃO É PROIBIDO;Jujuba bananada pipoca
Marisa Monte;01146;MAIS UMA VEZ;Mais uma vez eu vou te deixar
Marisa Monte;01608;MARIA DE VERDADE;La i iá la i iá
Marisa Monte;01634;TEMA DE AMOR;Eu conheço todo jeito
Marisa Monte;01673;GENTILEZA;Apagaram tudo pintaram tudo de cinza
Marisa Monte;03554;BALANÇA PEMA;Don don din din din don don don din
Marisa Monte;01802;ÁGUA TAMBÉM É MAR;Pan pan pan pan
Marisa Monte;01863;AINDA BEM;Ainda bem que agora encontrei você
Marisa Monte;01919;SEGUE O SECO;A boiada seca
Marisa Monte;01957;TUDO PELA METADE;Eu admiro o que não presta
Marisa Monte;01960;VOLTE PARA O SEU LAR;Aqui nessa casa ninguém quer
Marisa Monte;02741;DEPOIS;Depois de sonhar tantos anos
Marisa Monte;02847;DIARIAMENTE;Para calar a boca rícino
Marisa Monte;02923;O QUE VOCÊ QUER SABER DE VERDADE;Vai sem direção vai ser livre
Marisa Monte;15026;AQUELA VELHA CANÇÃO;Quando eu te ligar cantando aquela velha
Marisa Monte;15371;DE MAIS NINGUÉM;Se ela me deixou a dor é minha só não é
Marisa Monte;15414;LENCINHO QUERIDO;Guardo o lencinho branco que 
Marisa Monte;15839;VERDADE, UMA ILUSÃO;Eu posso te fazer feliz feliz me sentir também eu posso
Marisa Monte;03606;BEIJA EU;Seja eu, seja eu deixa que eu seja eu
Marisa Monte;03612;DANÇA DA SOLIDÃO;Solidão é lava que cobre tudo
Marisa Monte;03617;ESTA MELODIA;Quando vem rompendo o dia
Marisa Monte;03629;NA ESTRADA;Tchu ru ru ru ru ru tchu tchu tchu
Marisa Monte;16176;BORBOLETA;Borboleta pequenina que vem para nos
Marisa Monte;04031;DE NOITE NA CAMA;De noite na cama, eu fico pensando
Marisa Monte;04393;EU SEI;Um dia eu vou estar à toa...
Marisa Monte;04424;AMOR I LOVE YOU;Deixa eu dizer que te amo...
Marisa Monte;04487;O QUE ME IMPORTA;O que me importa seu carinho agora...
Marisa Monte;06068;NÃO É FÁCIL;Não é fácil não pensar em você...
Marisa Monte;06147;NÃO VÁ EMBROA;E no meio de tanta gente eu encontrei...
Marisa Monte;06190;PANIS ET CIRCENSES;Eu quis cantar…
Marisa Monte;06283;A SUA;Eu só quero que você saiba…
Marisa Monte;06344;ONTEM AO LUAR;Ontem ao luar nós dois em plena...
Marisa Monte;06377;LENDA DAS SEREIAS RAINHA DO MAR;Oguntê Marabô Caiala e sobá…
Marisa Monte;06590;ROSA;Tu és divina e graciosa estátua…
Marisa Monte;06858;MAGAMALABARES;Para mandê-ro undo para mandê-ro
Marisa Monte;07273;VILAREJO;Há um vilarejo ali
Marisa Monte;03030;BEM QUE SE QUIS;Bem que se quis
Marisa Monte - Rodrigo Amarante - Devendra Banhart;15978;NU COM A MINHA MÚSICA;Penso em ficar quieto um pouquinho
Marisa Monte / Ed Motta;03009;AINDA LEMBRO;Ainda lembro o que passou
Marisa Monte e Erasmo Carlos;09291;NÃO QUERO VER VOCÊ TRISTE;Sente o céu repara o mar
Marisa Monte e Rodrigo Amarante;02799;O QUE SE QUER;Vá pode falar pode escrever
Marjori Estiano;07690;REFLEXO DO AMOR;Hoje quando acordei
Marjori Estiano;07653;O JOGO;Por mais que eu tente eu não consigo e
Marjori Estiano;07597;ESPIRAIS;Depois do céu tem outro céu
Marjori Estiano;06839;VOCÊ SEMPRE SERÁ;Quando a lua tentar me encontrar
Marjori Estiano;07216;POR MAIS QUE EU TENTE;Se o vento sopra sem sentido
Markinhos Moura;06335;MEU MEL;Fica comigo meu mel...
Marlon E Maicon;07707;TE DEDICO ESSA CANÇÃO;Como uma flecha no coração
Marlon E Maicon;06152;POR TE AMAR ASSIM;Você ficou em mim dentro de minha...
Marlon E Maicon;06280;TÁ NA CARA;Pára de fingir…
Marlon E Maicon;06390;TE PEÇO FICA COMIGO;Escuta meu amor…
Marlon E Maicon;06907;CORAÇÃO AVENTUREIRO;Eu não consigo controlar meu coração…
Maroon 5;19011;MOVES LIKE JAGGER;Oh ah oh... Just shoot for the stars it feels
Maroon 5;19038;ONE MORE NIGHT;You and I go hard at each other like
Maroon 5;19055;HARDER TO BREATHE;How dare you say that my behavior is
Maroon 5;19117;SHE WILL BE LOVED;Beauty queen of only eighteen she
Maroon 5;19145;SUNDAY MORNING;Sunday morning rain is falling
Maroon 5;19233;SUGAR;I'm hurtin baby I'm broken down
Maroon 5;19373;DAYLIGHT;Here I am waiting I'll have to leave soon
Maroon 5;19521;ANIMALS;Baby I'm preying on you tonight
Maroon 5;19583;LOST STARS;Please don't see just a boy caught up
Maroon 5 - Future;19843;COLD;Cold enough to chill my bones
Maroon 5 - Kendrick Lamar;19816;DON'T WANNA KNOW;I don't wanna know know know know
Maroon 5 - SZA;19779;WHAT LOVERS DO;Say say say hey hey now baby
Maroon 5 feat. Wiz Khalife;19014;PAYPHONE;I'm partying... I'm at a payphone trying to
Marshmello - Anne Marie;19763;FRIENDS;Ohhh oh oh... You say you love me 
